no,code,name,rmse,invest_result,all_invest_result,train_cnt,invest_date
1,006800,미래에셋대우,0.011428862810134888,7701855.812325001,7421890.4045,0,2019.09.16~2020.03.15
2,000660,SK하이닉스,0.03190062567591667,11126211.373489887,10378406.875,0,2019.09.16~2020.03.15
3,015760,한국전력공사,0.023084595799446106,8758268.11278293,8052328.399999999,3,2019.09.16~2020.03.15
4,010140,삼성중공업,0.029628057032823563,5888195.521000002,5888195.521000002,0,2019.09.16~2020.03.15
5,000270,기아자동차,0.007650287356227636,7981348.97295,6932795.2299999995,0,2019.09.16~2020.03.15
6,011200,현대상선,0.03183162584900856,8727980.110749999,8727980.110749999,0,2019.09.16~2020.03.15
7,030200,케이티,0.007077871821820736,8033337.4300000025,8033337.4300000025,2,2019.09.16~2020.03.15
8,005940,NH투자증권,0.020956765860319138,8435107.46605,6977871.0685,0,2019.09.16~2020.03.15
9,005380,현대자동차,0.021043017506599426,6875812.629500002,7401160.9,0,2019.09.16~2020.03.15
10,003530,한화투자증권,0.013266578316688538,6917876.956,6917876.956,0,2019.09.16~2020.03.15
11,003470,유안타증권,0.011194530874490738,7925396.257704619,7843124.375499999,5,2019.09.16~2020.03.15
12,028050,삼성엔지니어링,0.008573440834879875,7740308.897199998,6802461.369999999,0,2019.09.16~2020.03.15
13,005930,삼성전자,0.28867635130882263,10748977.98,10748977.98,0,2019.09.16~2020.03.15
14,003550,LG,0.021698936820030212,8647489.051649995,8786387.620000001,0,2019.09.16~2020.03.15
15,009830,한화솔루션,0.019509978592395782,7700219.376507255,7867666.9,0,2019.09.16~2020.03.15
16,003620,쌍용자동차,0.0016824797494336963,4921541.823499999,4921541.823499999,0,2019.09.16~2020.03.15
17,004020,현대제철,0.0179954431951046,4997008.737500001,4997008.737500001,0,2019.09.16~2020.03.15
18,001740,SK네트웍스,0.015675654634833336,8979775.144,8979775.144,0,2019.09.16~2020.03.15
19,008560,메리츠종금증권,0.01402955036610365,7978628.514852501,6362204.2299999995,0,2019.09.16~2020.03.15
20,001230,동국제강,0.009176192805171013,6354521.437204872,5637519.696250001,0,2019.09.16~2020.03.15
21,000370,한화손해보험,0.01169040147215128,4762582.208499998,4762582.208499998,0,2019.09.16~2020.03.15
22,000720,현대건설,0.017452968284487724,8277741.413825002,6149637.505,0,2019.09.16~2020.03.15
23,001200,유진증권,0.013452180661261082,7733388.438,7733388.438,0,2019.09.16~2020.03.15
24,003410,쌍용양회공업,0.06105073168873787,10555071.630167987,7724301.5879999995,0,2019.09.16~2020.03.15
25,016380,동부제철,0.048356201499700546,8159285.048711314,4116011.3649999998,0,2019.09.16~2020.03.15
26,012330,현대모비스,0.017344029620289803,7668038.949430041,7395853.0,0,2019.09.16~2020.03.15
27,000880,한화,0.015058895573019981,9625576.889224997,6965756.290000001,20,2019.09.16~2020.03.15
28,005490,포스코,0.020366840064525604,7454951.199999999,7454951.199999999,0,2019.09.16~2020.03.15
29,003490,대한항공,0.01877853274345398,8717778.591388468,8976604.419999998,0,2019.09.16~2020.03.15
30,016360,삼성증권,0.012265343219041824,9425431.125871142,8746868.800000003,0,2019.09.16~2020.03.15
31,003540,대신증권,0.01605173759162426,7882676.129550001,7076748.62,0,2019.09.16~2020.03.15
32,001440,대한전선,0.006743376608937979,9065517.399999999,9065517.399999999,0,2019.09.16~2020.03.15
33,006360,GS건설,0.017464688047766685,8045679.960003426,6300889.350000001,0,2019.09.16~2020.03.15
34,000680,LS네트웍스,0.0029395956080406904,7325455.929999998,7325455.929999998,0,2019.09.16~2020.03.15
35,009150,삼성전기,0.03877044841647148,11376006.795577686,11722985.545,0,2019.09.16~2020.03.15
36,006400,삼성SDI,0.027580320835113525,9947530.275129782,11914484.950000001,0,2019.09.16~2020.03.15
37,009540,한국조선해양,0.01414449978619814,8125893.03873944,7140246.215000001,0,2019.09.16~2020.03.15
38,010050,우리종금,0.0031837497372180223,7600020.524799999,7600020.524799999,0,2019.09.16~2020.03.15
39,000540,흥국화재,0.006674301810562611,9182809.184203103,7522543.0115,36,2019.09.16~2020.03.15
40,000400,롯데손해보험,0.01141289621591568,6736328.82025,6736328.82025,0,2019.09.16~2020.03.15
41,030210,KTB투자증권,0.014362272806465626,7742625.949323797,7738045.7075,0,2019.09.16~2020.03.15
42,012630,HDC,0.02060198411345482,7024253.1500903005,6404329.324,0,2019.09.16~2020.03.15
43,010950,S-Oil,0.025104498490691185,6827073.829999998,5766287.300000003,0,2019.09.16~2020.03.15
44,012450,한화에어로스페이스,0.029749274253845215,6737398.080674998,5781623.585000001,0,2019.09.16~2020.03.15
